in front of ～,～の前に、～の正面に
Will you ～?,～してくれませんか？
Excuse me，but ～, 失礼ですが～
get to,～に到着する
go back (to～),(～へ)戻る、帰る
stop ～ing,～するのをやめる
all over ～ ,～中で、～の至る所で、すっかり
go to school,登校する、学校に通う
arrive at [in] ～,～に到着する
at school,学校で、在学中で、授業中で
take care of ～,～の世話をする、～を処理する
How many ～?,どれくらいの数の～ですか？
be good at ～,～が得意[上手]である
at first,最初は、はじめのうちは
​stand up,立ち上がる
all of ～,～のすべて
come in,入る、入ってくる
​as ～ as one can,できるだけ～
at night,夜に
don't have to ～,～しなくてもよい、～する必要はない
～ enough to …,…するのに十分(なだけの)～
more than ～,～以上、～より多い
after school,放課後(に)
a piece of ～,1つの～、1切れの～
pick up,～を拾い上げる、～を(車で)迎えに行く
stay with～,～の家に泊まる、～のそばにいる
​be full of～,～でいっぱいである
between ～ and…,～と…の間に
grow up,成長する、大人になる
thousands of ～,何千もの～、多数の～
