come up (to～),(～に)近づく、持ち上がる
no one,誰も～ない
say to oneself,(心の中で)つぶやく、独り言を言う
Shall I ～?,(私が)～しましょうか？
write to ～,～に手紙を書く
be sure (that)～,～だと確信している
find out ～,～を見つけ出す、解明する、 ～に気づく
had better,～したほうがよい
help ～ with ...,～の…(手伝い・仕事)を手伝う
learn to ～,～できるようになる、～することを覚える
look like～,～のように見える、～に似ている
some day,いつか、いつの日か【未来】
start for ～,～に向けて出発する
work for ～,～で働いている、～に勤めている
How much (～)?,いくらですか？、どれくらいの量ですか？
come into ～,～に入ってくる、～を継承する
out of ～,～の中から外へ、～から切らして
Shall we ～?,(一緒に)～しましょうか？
I am afraid (that) ～,あいにく～だと思う、～ではないかと心配する
one morning,ある朝
be late for,～に遅れる、～に遅刻する
get off ～,(電車やバスなどから)降りる
go on (～ing),～し続ける、続く
not very ～,あまり～ない
run away,逃げる、逃亡する、走る去る
all day (long),一日中
at that time,その時、当時、そのころ
go to bed,寝る、就寝する
not ～ any more,これ以上～ない
both ～ and ...,～も…も両方
