come out,現れる、出版される、出てくる、(花が)咲く
look up (～),(辞書などで)～を調べる、見上げる
most of ～,～の大部分、～のほとんど
over there,向こうに、あそこに
smile at,～に微笑む、～にニッコリ笑う
take a picture,写真を撮る
take off (～),(服などを)脱ぐ、(飛行機が)離陸する
pay for ～,～の代金を払う
Why don't you ～?,～したらどうですか？
a kind of,一種の～、ある種の～
I'd like to,～したいのですが
be angry with ～,～(人)に怒っている
for the first time,初めて
go away,立ち去る、出かける
Here you are.,はい、どうぞ。
look forward to ～,～を楽しみに待つ
next to ～,～の隣に、～の次に
put on ～,～を着る、～を身につける
so that ～ can …,～が…できるように
this time,今回(は)、今度(は)
a cup of,(カップ)1杯の～
again and again,何度も、繰り返して
far from ～,～から遠く離れて、決して～ではない
in fact,実際に、実は
make a mistake,間違える、ミスをする
many times,何度も、何回も
worry about ～,～について心配する
at the same time,同時に
because of ～,～のために、～が原因で
by oneself,一人で、自力で
