fall down,転ぶ、倒れる、落ちる
for some time,しばらくの間
get out (～),外に出る、脱出する、～を取り出す
look after ～,～の世話をする
more and more (～),ますます～
on the telephone,電話で
take out ～,～を取り出す、～を外に連れ出す
with a smile,笑顔で、微笑みながら
at the end of,～の終わりに
be made of ～,～(材料)でできている
be made from,～(原料)から作られる
belong to,～に所属している、～のものである
​just then,ちょうどその時
last year,昨年、去年
up to,～まで、～の責任で、～次第で
be afraid of ～,～を恐れている、怖がる
by the way,ところで
leave home,家を出る、出社・登校する
not only ～ but (also) ...,～だけでなく…も
put ～ in …,～を ...に入れる、～を ...に差し込む
this way,こちらへ、このように
this morning,今朝
be surprised to ～,～して驚く
get on (～),(電車やバスなどに)乗り込む
go up to (～),～まで近づく、～まで上がる
in the future,将来、今後は
It is time for,～の時間だ
look around (～),(～を)見回す、見学する
not ～ yet,まだ～ない
You are welcome.,どういたしまして。
