after all,結局、やはり
all the time,いつも、絶えず
even if ～,たとえ～だとしても
go up (～),(～に)上がる、登る
hear from ～,～から連絡をもらう、便りがある
lots of ～,たくさんの～
not as ～ as ...,…ほど～ない
put ～ into,～を…の中に入れる、～を…に訳す
What time ～?,何時(に～しますか)？
be fond of ～,～が好きである
​far away,遠く離れて
finish ～ing,～し終わる
every other day,一日おきに
have a party,パーティーを開く
How do you like ～?,～はどうですか？、～をどう思いますか？
live on,～を主食とする、～(収入など)で生活する
make friends with,～と友達になる
after a while,しばらくして
do one's best,全力を尽くす
for a moment,ちょっとの間
give up (～),(～を)あきらめる、やめる
How old～?,何歳ですか？、築何年ですか？
run after,～の後を追う、～を追いかける
the same ～ as …,…と同じ～
the other day,先日、この前
be proud of～,～を誇りに思っている、～を自慢する
come on,さあ、急げ、元気をだせ、やってくる
get angry,怒る
introduce ～ to ...,～を…に紹介する
keep ～ing,～し続ける
