shake hands (with ～),(～と)握手する
a glass of ～,(グラス)1杯の～
 ～as well as …,...だけでなく～も、...と同様に～も
How about ～ing?,～するのはどうですか？
call on,(人を)訪問する、指名する
cut down ～, ～を切り倒す、削減する
get in (～),(車などに)乗り込む、到着する、～に乗る
instead of ～,～の代わりに
look into～,～を調査する、～の中をのぞき込む
need to ～,～する必要がある
take a bath,入浴する、お風呂に入る
be different from ～,～と異なる、～と違う
for a while,しばらくの間
from now on,これからは、今後
go to sleep,眠りにつく
hear of ～,～の噂を聞く、評判を聞く
How often ～?,どれくらいの頻度で、～ですか？、何回～ですか？
in time (for～),(～に)間に合って
lie down,横になる、寝転がる
on time,時間通りに、定刻に
one of ～,～のうちの一つ(一人)
put out ～,(火や明かりなどを)消す、～を出す
run out of ～,～を使い果たす、～がなくなる、～から走って出る
say hello to ～,～によろしくと伝える、～にあいさつする
seem to ～,～のように思われる、～らしい
take it easy,気楽にやる、のんびりする
thanks to ～,～のおかげで
the next day,その翌日
used to ～,以前はよく～したものだ、かつては～だった
wake up (～),目を覚ます、～を起こす
