all one's life,生涯、一生の間、これまでずっと
be surprised at,～に驚く
be busy ～ing,～するのに忙しい
come to ～,～に来る、(意識が)戻る、～するようになる
during one's stay in ～,～への滞在中
for oneself,自分のために、自分で、独力で
go off,(爆発・アラームなどが)鳴る、立ち去る、消える
go on a trip,旅行に出かける
It takes (-)～to …,(ーが)…するのに(時間が)～かかる
no longer,もはや～ない
on business,仕事で、用事で
once more,もう一度
plenty of ～,たくさんの～、十分な～
run up to ～,～へ駆け寄る
take a walk,散歩する
write down ～,～を書き留める、メモする
at a time,一度に
be absent from ～,～を欠席する、休む
be covered with ～,～で覆われている
bring up ～,(子供を)育てる
day after day,来る日も来る日も、毎日毎日
either ～ or …,～か…のどちらか
get along,うまくやっていく、進む
go abroad,外国へ行く、海外渡航する
go down,下がる、沈む、降りる
in order to ～,～するために
in surprise,驚いて
in those days,当時は、その頃は
leave ～ behind,～を置き忘れる、～を後に残す
little by little,少しずつ、徐々に
