long ago,ずっと前に、昔
make ～ into …,～を(製品)...に加工する
make a speech,スピーチをする、演説する
one ...、 the other ...,(2つのうち)一つは…、もう一つは…
send for ～,～を呼びにやる、～を取り寄せる
 ～such as …,...のような～、例えば～
take a rest,休憩する、一休みする、休む
take away ～,～を持ち去る、～を取り除く、～を片付ける
take part in～,～に参加する
try on～,～を試着する
agree with～,(人・意見に)同意する、賛成する
be famous for ～,～で有名である
be filled with ～,～で満ちている、～でいっぱいである
be over,(会議・授業などが)終わる
call out,大声で叫ぶ、呼び出す
come down,下がる、落ちる
come out of ～,～から出てくる
come true,(夢などが)実現する
enjoy oneself,楽しく過ごす
go around ～,～を回り道する、～のあちこちを巡る
