go by,(時が)経過する、通り過ぎる
have been to ～,～へ行ったことがある、～へ行ってきたところだ
How far～?,どれくらいの距離ですか？
laugh at ～,～を笑う、～をあざ笑う
look down (at ～),(～を)見下ろす
make up one's mind (to ...),(…しようと)決心する
shake hands (with ～),(～と)握手する
a glass of ～,(グラス)1杯の～
 ～as well as …,...だけでなく～も、...と同様に～も
How about ～ing?,～するのはどうですか？
call on,(人を)訪問する、指名する
cut down ～, ～を切り倒す、削減する
get in (～),(車などに)乗り込む、到着する、～に乗る
instead of ～,～の代わりに
look into～,～を調査する、～の中をのぞき込む
need to ～,～する必要がある
take a bath,入浴する、お風呂に入る
be different from ～,～と異なる、～と違う
