last,[形][名]最後の、この前の、最後
meet,[動]会う、迎える
far,[副]遠くに、はるかに
break,[動]こわれる、割る、こわす
face,[名]顔
grow,[動]なる、育てる、増加する
light,[名]光、明かり、電灯
once,[副]かつて、1度、昔
stand,[動]立つ
still,[副]まだ、今でも、それでも
can,[助]することができる、できる
plant,[名]植物、草木
since,[接]して以来
work,[名]仕事、勉強、労働
around,[前]のまわりの、くらいに〔で〕、ころ
even,[副]さえ、でさえ、でも
for,[前]へ向かって、のための〔に〕
head,[名]先頭、頭、頭部
pretty,[形]かわいい、すてきな、きれいな
run,[動]走る
say,[動]言う、口に出す
some,[形]いくつかの、いくらかの、ある
well,[副コじょうずに、うまく、よく
will,[助]でしょう、だろう、するだろう
care,[名]心配、注意、世話
drive,[動]運転する、ドライブする
else,[副]そのほかに、ほかに
ever,[副]これまでに7今まで
fall,[名]秋、落下
fly,[動]飛ぶ、飛んで行く、飛行機で行く
keep,[動]留める、しまっておく、守る
leave,[動]去る、出発する、残す
may,[助]してもよい、かもしれない、だろう
name,[名]名前
need,[動]必要とする、要る
picture,[名]写真、絵
rise,[動]上がる、昇る、起き上がる
turn,[動]曲がる、向かう、回る
walk,[動]歩く、歩いていく
among,[前]の間で、の間に、の中に
back,[副]うしろへ戻って、もとへ
bad,[形]悪い、へたな
black,[名]黒
busy,[形]忙しい、(場所が)にぎやかな
draw,[動]描く、絵を描く、引く
forget,[動]忘れる
like,[動]好む、好きだ、気に入る
live,[動]生きる、住む、住んでいる
look,[動]見る
place,[名]場所、所、立場
