half,[名]半分、2分の1、30分
hope,[名][動]希望、望み、望む
idea,[名]考え、思いつき、着想
if,[接]もし～ならば、もし～なら
invite,[動]招待する、招く、誘う
kind,[名][形]種類、親切な、優しい
lend,[動]貸す、貸与する
long,[形]長い
love,[名][動]愛、恋、恋愛、愛する、大好きだ
man,[名]男の人、男性、人
minute,[名](時間の)分、少しの間
my,[代]私の
old,[形]古い、昔の、年をとった
only,[副]ただ～だけ、ほんの、たった
paper,[名]紙、新聞、(宿題などの)リポート
plane,[名]飛行機
popular,[形]評判のよい、人気のある、大衆的な
question,[名]質問、疑問、問題
quickly,[副]すばやく、速く、急速に
rich,[形]金持ちの、豊かな、富んだ
see,[動]見る、会う、わかる
send,[動]送る
sit,[動]座る、席につく
sleep,[動]眠る
something,[代]何か、あるもの、あること
son,[名]息子
star,[名]スター、星
stop,[動]止まる、止める、やめる
store,[名]店、小売店、ストアー
swim,[動]泳ぐ
table,[名]テーブル、食卓
today,[名][副]きょう、今日
understand,[動]理解する、わかる
useful,[形]役に立つ、ためになる、有用な
vacation,[名]休暇、休み、バカンス
wash,[動]洗う、洗濯する
afraid,[形]恐れて、こわがって
after,[前]のあとに、の後(のち)に
again,[副]再び、もう1度また
anyone,[代](疑問文で)だれか、だれでも
anything,[代]何か、(疑問文で)何か、(否定文で)何も
arrive,[動]到着する、着く
ask,[動]問う、(～に)たずねる、聞く
become,[動]になる
before,[前]の前に
big,[形]大きい
blue,[名][形]青、青い
boy,[名]少年、男の子
cake,[名]ケーキ、お菓子
chair,[名]いす
