tree,[名]木、樹木、立ち木
uncle,[名]おじ、おじさん
usually,[副]たいてい、通常、ふつう(は)
village,[名]村、村落
wait,[動]待つ、期待する
watch,[動][名]見る(意識的に)、気をつける、腕時計
we,[代]私たち(は、が)、我々(は、が)
week,[名]週、1週間
which,[代][形]どちら(が、を)、どれ(が、を)、どの、どちらの
wife,[名]妻、夫人、奥さん
window,[名]窓、窓口
winter,[名]冬
woman,[名]女の人、女性、婦人
wonderful,[形]すばらしい、すてきな、驚くべき
word,[名]ことば、単語、語
world,[名]世界、世間
year,[名]年、1年、～歳
yellow,[名][形]黄色、黄色い
yesterday,[副]きのう、きのうは、昨日
you,[代]あなた(は、が、を)
yours,[代]あなた〔たち〕のもの
Sunday,[名]日曜日
Monday,[名]月曜日
Tuesday,[名]火曜日
Wednesday,[名]水曜日
Thursday,[名]木曜日
Friday,[名]金曜日
Saturday,[名]土曜日
January,[名]1月
February,[名]2月
March,[名]3月
April,[名]4月
May,[名]5月
June,[名]6月
July,[名]7月
August,[名]8月
September,[名]9月
0ctober,[名]10月
November,[名]11月
December,[名]12月
step,[名][動]足もと、一歩、歩み、歩を進める、踏む
hold,[動]保つ、抱く、つかむ、(会などを)開く
maybe,[副]たぶん、おそらく、ひょっとしたら
save,[動]救う、保つ、とっておく
touch,[動]触れる、さわる、接する
wear,[動]着ている、身につけている、装う
while,[名][接]間、時間、少しの時間、～する間に
get,[動]着く、手に入れる、取ってくる
move,[動]動く、動かす、移動する
part,[名][動]部分、一部、要素、分かれる、分ける
