play,[動](スポーツなどを)する、遊ぶ
ride,[動]乗る、乗って行く
room,[名]部屋
those,[代]あれらは、あれらが、それらは
time,[名]時刻、時間、～回
warm,[形]温かい、暑い
welcome,[間]ようこそ、いらっしゃい
where,[副]どこに、どこへ、どこで
across,[副]横に、横切って
all,[形]すべての、あらゆる
ball,[名]球、ボール、たま
every,[形]毎～、すべての、毎(ごと)に
fast,[形]速い
go,[動]行く
hard,[副]一生懸命、熱心に激しく
just,[副]単に、ちょうど、ほんの
life,[名]生命、生活、人生
lose,[動]失う、なくす、負ける
lost,[形]道に迷った、失われた、負けた
much,[副]たいへん、おおいに、とても
or,[接]または、それとも、あるいは
park,[名]公園
please,[動]喜ばせる
put,[動]置く、入れる、のせる
shout,[動]叫ぶ、大声で言う
study,[動]勉強する、研究する、調べる
sure,[副]確かに
take,[動]とる、乗る、連れていく
then,[副]それでは、それから、その時
through,[前]の間から、の中から、を通って
very,[副]とても、たいへん、ひじょうに
when,[副]いつ
without,[前]なしに、なしで、がなければ
yet,[副]まだ(～ない)、もう
about,[前]について、に関して
any,[形]いくつかの、どんな～でも
but,[接]しかし、でも、だが
class,[名]授業、クラス、学級
clean,[動]そうじする
cold,[形]寒い、冷たい、冷えた
cut,[動]切る、切断する、短縮する
dark,[形]暗い、黒い
dear,[形]親愛なる、様いとしい
die,[動]死ぬ、なくなる
eat,[動]食べる
either,[副][否定文で]もまた(～ない)
eye,[名]目
farm,[名]農場、農園
fish,[名]魚、魚肉
foot,[名](足首から下の部分の)足
