danger,[名]危険、危険な状態、脅威
hate,[動][名]嫌いである、憎む、憎しみ
sign,[名][動]符号、合図、標識、合図する、署名する
real,[形]本当の、真の、本物の
century,[名]世紀、1世紀、10年間
island,[名]島
proud,[形]自慢して、誇りに思って
set,[動][名]置く、(太陽や月が)沈む、セット、ひとまとまり
age,[名]年齢、時代、世代
beside,[前]のそばに、の横に、のかたわらに
bright,[形]明るい、輝いている、利口な
fan,[名]ファン、(熱心な)愛好者、うちわ
heavy,[形]重い、ひどい、の重さがある
marry,[動]と結婚する
greeting,[名]あいさつ
join,[動]加わる、参加する、といっしょになる
line,[名]ひも、線、列、路線
magazine,[名]雑誌
quite,[副]まったく、かなり、相当
win,[動]勝つ、勝ちとる、獲得する
borrow,[動]借りる、借用する
capital,[名][形]首都、中心地、大文字(の)
dry,[形][動]乾燥した、乾いた、雨の降らない、乾く
enter,[動]入る、入ってくる、入学する
farmer,[名]農場主、農夫、農場経営者
medal,[名]記章、勲章、メダル
pet,[名]ペット
piece,[名]断片、一片、1つ、1曲
police,[名]警察、警察隊
rabbit,[名]ウサギ
report,[名][動]報告(書)、レポート、報道する、伝える
rock,[名]岩、ロック(音楽)
slow,[形][動]遅い、のろい、ゆるやかな、遅らせる
bike,[名]自転車、オートバイ
cloudy,[形]くもった、くもりの、雲の多い
comic,[形][名]喜劇の、こっけいな、漫画の、漫画本
contest,[名]コンテスト、競技、競争
dead,[形]死んだ、枯れた、動かない
full,[形]満ちた、いっぱいの、十分な
movie,[名]映画
outside,[前][形]の外で〔に〕、の外(側)に、外側の
team,[名]組、チーム
wish,[動][名]望む、願う、であればよいと思う、望み、願い
chicken,[名]ニワトリ、鳥肉、チキン
decide,[動]決心する、決める、判断する
dress,[名][動]ドレス、服、服を着る
frog,[名]力エル
grass,[名]芝生、草、草地
knife,[名]ナイフ、包丁、メス
meat,[名]肉
