ray,[名]光線
safely,[副]安全に、無事に
servant,[名]召使、使用人
silent,[形]静かな、沈黙した、無言の
slide,[動][名]すべる、スライド
sometime,[副]いつか、そのうち、あるとき
soup,[名]スープ 
sunset,[名]夕焼け、日没、日暮れ
temple,[名]寺、寺院 
thin,[形]細い、やせた、薄い
toy,[名]おもちゃ
apartment,[名]アパート
bank,[名]銀行、土手
basement,[名]地下室、地階
candy,[名】キャンディー
captain,[名]船長、キャプテン
carefully,[副]注意深く、気をつけて
center,[名]中心、中央、センター
course,[名]進路、講座、方向
cream,[名]クリーム
earthquake,[名]地震
fire,[名]火、火事
fox,[名]キツネ
fresh,[形]新鮮な
gentle,[形]穏やかな、優しい
juice,[名]ジュース
kangaroo,[名]カンガルー
kick,[動]ける
law,[名]法律
lip,[名]唇
mayor,[名]市長、町長
neck,[名]首
none,[代]誰も～ない
pants,[名]ズボン、スラックス
pipe,[名]笛、パイプ、管
print,[動]印刷する
sailor,[名]船乗り、船員、水夫
snake,[名]蛇、陰険な人
stage,[名]舞台、段階
suitcase,[名]スーツケース
translate,[動]訳す、翻訳する
tube,[名]管、チューブ、地下鉄
uniform,[名]制服、ユニフォーム
zone,[名]地帯、特定地域、区域
bar,[名]棒、酒場
beef,[名]牛肉
breeze,[名][動]そよ風、そよそよと吹く
chopstick,[名]箸
concert,[名]コンサート、演奏会、音楽会
dessert,[名]デザート
