flag,[名]旗
goose,[名]ガチョウ、ガン
knock,[動]打つ、たたく、ノックする
liberty,[名]自由
pie,[名]パイ
soft,[形]やわらかい、甘い
surprise,[動]驚かす、びっくりさせる
witch,[名]魔女、女の魔法使い
zoo,[名]動物園
banana,[名]バナナ
cooking,[名]料理
cow,[名]雌牛、牛
deep,[形]深い、色が濃い
everybody,[名]みんな、誰でも
Good-by,[間]さようなら
ice,[名]氷
tooth,[名]歯
Africa,[名]アフリカ
America,[名]アメリカ
American,[形]アメリカ(人)の
Asia,[名]アジア
Australia,[名]オーストラリア
Brazil,[名]ブラジル
Canada,[名]カナダ
China,[名]中国
Chinese,[形]中国(人)の
England,[名]イングランド、英国
English,[名][形]英語、英語の、英国人の
Europe,[名]ヨーロッパ、欧州
European,[形]ヨーロッパ(人)の
France,[名]フランス
French,[名][形]フランス語、フランス(人)の
German,[名][形]ドイツ語、ドイツ(人)の
Germany,[名]ドイツ
Holland,[名]オランダ
Italy,[名]イタリア
Japan,[名]日本
Japanese,[形]日本(人)の
Korea,[名]韓国朝鮮
Korean,[形]韓国朝鮮(人)の
London,[名]ロンドン
New York,[名]ニューヨーク
New Zealand,[名]ニュージーランド
Mexico,[名]メキシコ
Paris,[名]パリ
Rome,[名]ローマ
Russia,[名]ロシア
Singapore,[名]シンガポール
Spain,[名]スペイン
Switzerland,[名]スイス
